n_communities,pref_attachment,network,threshold_idx,threshold_value,median_final_adoption,internal_variance_adoption,ratio
78.0,0.0,lft_oplniv,2,0.21666666666666667,91.1,4.290000000000001,0.18090463945091073
78.0,0.0,lft_oplniv,3,0.3,88.95,4.9475,0.18090463945091073
78.0,0.0,oplniv,0,0.05,8601.0,0.0,0.3783858877361693
78.0,0.0,oplniv,1,0.13333333333333333,6888.95,728325.9475,0.3783858877361693
78.0,0.0,oplniv,2,0.21666666666666667,91.1,18.389999999999993,0.3783858877361693
78.0,0.0,oplniv,3,0.3,87.65,2.0275,0.3783858877361693
45.0,0.55,etngrp,0,0.05,8589.05,0.0475,0.45812543304486925
45.0,0.55,etngrp,1,0.13333333333333333,554.6,3397622.039999999,0.45812543304486925
45.0,0.55,etngrp,2,0.21666666666666667,96.2,26.159999999999997,0.45812543304486925
45.0,0.55,etngrp,3,0.3,92.15,8.4275,0.45812543304486925
45.0,0.55,etngrp_geslacht,0,0.05,8581.25,0.2875,0.23144591647407312
45.0,0.55,etngrp_geslacht,1,0.13333333333333333,1822.5,11420287.45,0.23144591647407312
45.0,0.55,etngrp_geslacht,2,0.21666666666666667,99.95,59.44750000000001,0.23144591647407312
45.0,0.55,etngrp_geslacht,3,0.3,91.45,11.847500000000002,0.23144591647407312
45.0,0.55,etngrp_geslacht_lft,0,0.05,7978.75,12.8875,0.0470804056787586
45.0,0.55,etngrp_geslacht_lft,1,0.13333333333333333,2090.7,11554298.21,0.0470804056787586
45.0,0.55,etngrp_geslacht_lft,2,0.21666666666666667,97.4,15.340000000000003,0.0470804056787586
45.0,0.55,etngrp_geslacht_lft,3,0.3,92.45,6.4475,0.0470804056787586
45.0,0.55,etngrp_geslacht_lft_oplniv,0,0.05,7944.85,5.4275,0.0358351895167103
45.0,0.55,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,4425.05,15144981.647499999,0.0358351895167103
45.0,0.55,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,95.75,7.9875,0.0358351895167103
45.0,0.55,etngrp_geslacht_lft_oplniv,3,0.3,91.2,6.56,0.0358351895167103
45.0,0.55,etngrp_geslacht_oplniv,0,0.05,8570.3,0.21000000000000002,0.1060721609694625
45.0,0.55,etngrp_geslacht_oplniv,1,0.13333333333333333,2236.45,13372211.747499999,0.1060721609694625
45.0,0.55,etngrp_geslacht_oplniv,2,0.21666666666666667,100.65,28.2275,0.1060721609694625
45.0,0.55,etngrp_geslacht_oplniv,3,0.3,92.3,8.110000000000001,0.1060721609694625
45.0,0.55,etngrp_lft,0,0.05,7995.1,4.69,0.08637181639362558
45.0,0.55,etngrp_lft,1,0.13333333333333333,4062.4,15475602.240000004,0.08637181639362558
45.0,0.55,etngrp_lft,2,0.21666666666666667,97.65,28.7275,0.08637181639362558
45.0,0.55,etngrp_lft,3,0.3,94.9,15.589999999999998,0.08637181639362558
45.0,0.55,etngrp_lft_oplniv,0,0.05,7970.7,7.5100000000000025,0.06990681106920812
45.0,0.55,etngrp_lft_oplniv,1,0.13333333333333333,5222.7,14019458.809999999,0.06990681106920812
45.0,0.55,etngrp_lft_oplniv,2,0.21666666666666667,96.8,8.959999999999997,0.06990681106920812
45.0,0.55,etngrp_lft_oplniv,3,0.3,91.55,6.847500000000001,0.06990681106920812
45.0,0.55,etngrp_oplniv,0,0.05,8593.05,0.047499999999999994,0.2076092668114412
45.0,0.55,etngrp_oplniv,1,0.13333333333333333,4786.55,17708919.947499998,0.2076092668114412
45.0,0.55,etngrp_oplniv,2,0.21666666666666667,96.0,33.5,0.2076092668114412
45.0,0.55,etngrp_oplniv,3,0.3,91.05,8.747499999999999,0.2076092668114412
45.0,0.55,geslacht,0,0.05,8595.0,0.0,0.5047082730751882
45.0,0.55,geslacht,1,0.13333333333333333,2670.45,15043245.3475,0.5047082730751882
45.0,0.55,geslacht,2,0.21666666666666667,91.35,10.3275,0.5047082730751882
45.0,0.55,geslacht,3,0.3,88.3,2.9099999999999993,0.5047082730751882
45.0,0.55,geslacht_lft,0,0.05,7952.5,10.95,0.10241017079987165
45.0,0.55,geslacht_lft,1,0.13333333333333333,5210.6,13957770.440000001,0.10241017079987165
45.0,0.55,geslacht_lft,2,0.21666666666666667,96.1,33.59,0.10241017079987165
45.0,0.55,geslacht_lft,3,0.3,91.7,10.010000000000002,0.10241017079987165
45.0,0.55,geslacht_lft_oplniv,0,0.05,7955.2,4.159999999999999,0.09310987830567272
45.0,0.55,geslacht_lft_oplniv,1,0.13333333333333333,4823.35,14708583.227500001,0.09310987830567272
45.0,0.55,geslacht_lft_oplniv,2,0.21666666666666667,96.1,20.69,0.09310987830567272
