n_communities,pref_attachment,network,threshold_idx,threshold_value,median_final_adoption,internal_variance_adoption,ratio
56.0,0.33,lft,1,0.13333333333333333,7590.55,3031645.7475000005,0.1923835254618758
56.0,0.33,lft,2,0.21666666666666667,4442.05,5109347.3475,0.1923835254618758
56.0,0.33,lft,3,0.3,143.8,14805.36,0.1923835254618758
56.0,0.33,lft_oplniv,0,0.05,7990.0,0.0,0.18090463945091073
56.0,0.33,lft_oplniv,1,0.13333333333333333,6792.2,8130107.660000001,0.18090463945091073
56.0,0.33,lft_oplniv,2,0.21666666666666667,5378.25,5158485.7875,0.18090463945091073
56.0,0.33,lft_oplniv,3,0.3,118.65,14819.127500000002,0.18090463945091073
56.0,0.33,oplniv,0,0.05,8601.0,0.0,0.3783858877361693
56.0,0.33,oplniv,1,0.13333333333333333,8567.2,10157.659999999998,0.3783858877361693
56.0,0.33,oplniv,2,0.21666666666666667,3430.45,633179.2475,0.3783858877361693
56.0,0.33,oplniv,3,0.3,155.5,16443.05,0.3783858877361693
78.0,0.0,etngrp,0,0.05,8601.0,0.0,0.45812543304486925
78.0,0.0,etngrp,1,0.13333333333333333,5726.55,84919.74749999998,0.45812543304486925
78.0,0.0,etngrp,2,0.21666666666666667,1645.5,318587.95,0.45812543304486925
78.0,0.0,etngrp,3,0.3,155.2,10404.960000000001,0.45812543304486925
78.0,0.0,etngrp_geslacht,0,0.05,8601.0,0.0,0.23144591647407312
78.0,0.0,etngrp_geslacht,1,0.13333333333333333,5903.65,26203.927499999998,0.23144591647407312
78.0,0.0,etngrp_geslacht,2,0.21666666666666667,1510.85,427124.5275,0.23144591647407312
78.0,0.0,etngrp_geslacht,3,0.3,118.2,7349.360000000001,0.23144591647407312
78.0,0.0,etngrp_geslacht_lft,0,0.05,7187.5,5738420.25,0.0470804056787586
78.0,0.0,etngrp_geslacht_lft,1,0.13333333333333333,7187.5,5738420.25,0.0470804056787586
78.0,0.0,etngrp_geslacht_lft,2,0.21666666666666667,3459.0,2037684.8,0.0470804056787586
78.0,0.0,etngrp_geslacht_lft,3,0.3,159.8,10995.560000000001,0.0470804056787586
78.0,0.0,etngrp_geslacht_lft_oplniv,0,0.05,7565.85,3011945.0275,0.0358351895167103
78.0,0.0,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,7167.7,5706843.209999999,0.0358351895167103
78.0,0.0,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,3603.55,5563497.047500001,0.0358351895167103
78.0,0.0,etngrp_geslacht_lft_oplniv,3,0.3,237.6,44769.54,0.0358351895167103
78.0,0.0,etngrp_geslacht_oplniv,0,0.05,8601.0,0.0,0.1060721609694625
78.0,0.0,etngrp_geslacht_oplniv,1,0.13333333333333333,6449.15,12618.627499999999,0.1060721609694625
78.0,0.0,etngrp_geslacht_oplniv,2,0.21666666666666667,2907.45,59688.54750000001,0.1060721609694625
78.0,0.0,etngrp_geslacht_oplniv,3,0.3,202.6,23644.84,0.1060721609694625
78.0,0.0,etngrp_lft,0,0.05,7624.75,3059029.6875,0.08637181639362558
78.0,0.0,etngrp_lft,1,0.13333333333333333,7624.9,3056742.99,0.08637181639362558
78.0,0.0,etngrp_lft,2,0.21666666666666667,3838.45,1746550.7475,0.08637181639362558
78.0,0.0,etngrp_lft,3,0.3,96.5,6921.25,0.08637181639362558
78.0,0.0,etngrp_lft_oplniv,0,0.05,6000.25,11997000.1875,0.06990681106920812
78.0,0.0,etngrp_lft_oplniv,1,0.13333333333333333,5600.3,13436640.209999999,0.06990681106920812
78.0,0.0,etngrp_lft_oplniv,2,0.21666666666666667,3831.7,2805502.1100000003,0.06990681106920812
78.0,0.0,etngrp_lft_oplniv,3,0.3,116.3,12468.109999999997,0.06990681106920812
78.0,0.0,etngrp_oplniv,0,0.05,8600.0,0.0,0.2076092668114412
78.0,0.0,etngrp_oplniv,1,0.13333333333333333,6420.25,25044.9875,0.2076092668114412
78.0,0.0,etngrp_oplniv,2,0.21666666666666667,2210.0,400855.3,0.2076092668114412
78.0,0.0,etngrp_oplniv,3,0.3,193.15,13153.127499999999,0.2076092668114412
78.0,0.0,geslacht,0,0.05,8601.0,0.0,0.5047082730751882
78.0,0.0,geslacht,1,0.13333333333333333,5569.05,27885.447500000002,0.5047082730751882
78.0,0.0,geslacht,2,0.21666666666666667,863.95,161881.34749999997,0.5047082730751882
78.0,0.0,geslacht,3,0.3,94.15,3020.6274999999996,0.5047082730751882
78.0,0.0,geslacht_lft,0,0.05,6833.3,8237704.110000001,0.10241017079987165
78.0,0.0,geslacht_lft,1,0.13333333333333333,7636.8,3068708.660000001,0.10241017079987165
78.0,0.0,geslacht_lft,2,0.21666666666666667,2242.85,4000014.4274999998,0.10241017079987165
78.0,0.0,geslacht_lft,3,0.3,133.7,15821.509999999998,0.10241017079987165
78.0,0.0,geslacht_lft_oplniv,0,0.05,7201.9,5761440.090000001,0.09310987830567272
78.0,0.0,geslacht_lft_oplniv,1,0.13333333333333333,7601.95,3040760.0474999994,0.09310987830567272
78.0,0.0,geslacht_lft_oplniv,2,0.21666666666666667,3315.5,4288424.35,0.09310987830567272
78.0,0.0,geslacht_lft_oplniv,3,0.3,159.8,15078.659999999998,0.09310987830567272
78.0,0.0,geslacht_oplniv,0,0.05,8601.0,0.0,0.19038745018530834
78.0,0.0,geslacht_oplniv,1,0.13333333333333333,6136.6,50216.939999999995,0.19038745018530834
78.0,0.0,geslacht_oplniv,2,0.21666666666666667,2152.75,520058.7875,0.19038745018530834
78.0,0.0,geslacht_oplniv,3,0.3,200.8,18312.36,0.19038745018530834
78.0,0.0,lft,0,0.05,7242.4,5826430.4399999995,0.1923835254618758
78.0,0.0,lft,1,0.13333333333333333,7242.4,5826430.4399999995,0.1923835254618758
