geslacht,lft,etngrp,oplniv,com,n
Vrouw,"[20,30)",Autochtoon,3,0,6300
Vrouw,"[20,30)",Autochtoon,3,1,4300
Vrouw,"[20,30)",Autochtoon,3,2,4600
Vrouw,"[20,30)",Autochtoon,3,3,4800
Vrouw,"[20,30)",Autochtoon,3,4,4900
Vrouw,"[0,20)",Autochtoon,1,0,4500
Vrouw,"[0,20)",Autochtoon,1,1,5500
Vrouw,"[0,20)",Autochtoon,1,2,4500
Vrouw,"[0,20)",Autochtoon,1,3,7700
Vrouw,"[0,20)",Autochtoon,1,4,7200
Vrouw,"[0,20)",Autochtoon,2,0,300
Vrouw,"[0,20)",Autochtoon,2,1,500
Vrouw,"[0,20)",Autochtoon,2,2,600
Vrouw,"[0,20)",Autochtoon,2,3,600
Vrouw,"[0,20)",Autochtoon,2,4,400
Man,"[20,30)",Autochtoon,1,0,100
Man,"[20,30)",Autochtoon,1,1,700
Man,"[20,30)",Autochtoon,1,2,300
Man,"[20,30)",Autochtoon,1,3,500
Man,"[20,30)",Autochtoon,1,4,500
Man,"[20,30)",Autochtoon,2,0,3400
Man,"[20,30)",Autochtoon,2,1,3400
Man,"[20,30)",Autochtoon,2,2,2100
Man,"[20,30)",Autochtoon,2,3,2800
Man,"[20,30)",Autochtoon,2,4,2400
Man,"[20,30)",Autochtoon,3,0,5100
Man,"[20,30)",Autochtoon,3,1,2900
Man,"[20,30)",Autochtoon,3,2,4400
Man,"[20,30)",Autochtoon,3,3,2900
Man,"[20,30)",Autochtoon,3,4,2400
Man,"[30,40)",Overig,1,0,300
Man,"[30,40)",Overig,1,1,500
Man,"[30,40)",Overig,1,2,1000
Man,"[30,40)",Overig,1,3,400
Man,"[30,40)",Overig,1,4,500
Man,"[30,40)",Overig,2,0,1200
Man,"[30,40)",Overig,2,1,800
Man,"[30,40)",Overig,2,2,800
Man,"[30,40)",Overig,2,3,700
Man,"[30,40)",Overig,2,4,400
Man,"[30,40)",Overig,3,0,5600
Man,"[30,40)",Overig,3,1,5500
Man,"[30,40)",Overig,3,2,4500
Man,"[30,40)",Overig,3,3,6000
Man,"[30,40)",Overig,3,4,3400
Vrouw,"[40,50)",Autochtoon,1,0,200
Vrouw,"[40,50)",Autochtoon,1,1,200
Vrouw,"[40,50)",Autochtoon,1,2,700
Vrouw,"[40,50)",Autochtoon,1,3,600
Vrouw,"[40,50)",Autochtoon,1,4,600
Vrouw,"[40,50)",Autochtoon,2,0,1300
Vrouw,"[40,50)",Autochtoon,2,1,1100
Vrouw,"[40,50)",Autochtoon,2,2,1200
Vrouw,"[40,50)",Autochtoon,2,3,1100
Vrouw,"[40,50)",Autochtoon,2,4,1500
Vrouw,"[40,50)",Autochtoon,3,0,3200
Vrouw,"[40,50)",Autochtoon,3,1,2600
Vrouw,"[40,50)",Autochtoon,3,2,2900
Vrouw,"[40,50)",Autochtoon,3,3,2400
Vrouw,"[40,50)",Autochtoon,3,4,3100
Man,"[20,30)",Marokkaans,1,0,500
Man,"[20,30)",Marokkaans,1,1,300
Man,"[20,30)",Marokkaans,1,2,300
Man,"[20,30)",Marokkaans,1,3,100
Man,"[20,30)",Marokkaans,1,4,300
