n_communities,pref_attachment,strategy,network,threshold_idx,threshold_value,median_final_adoption
78.0,0.0,combined_score,lft,0,0.05,8047.0
78.0,0.0,combined_score,lft,1,0.13333333333333333,8047.0
78.0,0.0,combined_score,lft,2,0.21666666666666667,86.5
78.0,0.0,combined_score,lft,3,0.3,86.0
78.0,0.0,internal_density,etngrp_geslacht_lft_oplniv,0,0.05,7970.0
78.0,0.0,internal_density,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,7967.5
78.0,0.0,internal_density,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,90.0
78.0,0.0,internal_density,etngrp_geslacht_lft_oplniv,3,0.3,88.0
78.0,0.0,internal_density,geslacht,0,0.05,8601.0
78.0,0.0,internal_density,geslacht,1,0.13333333333333333,8601.0
78.0,0.0,internal_density,geslacht,2,0.21666666666666667,87.5
78.0,0.0,internal_density,geslacht,3,0.3,87.0
78.0,0.0,internal_density,lft,0,0.05,8047.0
78.0,0.0,internal_density,lft,1,0.13333333333333333,8047.0
78.0,0.0,internal_density,lft,2,0.21666666666666667,86.0
78.0,0.0,internal_density,lft,3,0.3,86.0
78.0,0.0,external_exposure_ratio,etngrp_geslacht_lft_oplniv,0,0.05,7970.0
78.0,0.0,external_exposure_ratio,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,7969.0
78.0,0.0,external_exposure_ratio,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,89.0
78.0,0.0,external_exposure_ratio,etngrp_geslacht_lft_oplniv,3,0.3,87.5
78.0,0.0,external_exposure_ratio,geslacht,0,0.05,8601.0
78.0,0.0,external_exposure_ratio,geslacht,1,0.13333333333333333,5130.0
78.0,0.0,external_exposure_ratio,geslacht,2,0.21666666666666667,88.0
78.0,0.0,external_exposure_ratio,geslacht,3,0.3,86.0
78.0,0.0,external_exposure_ratio,lft,0,0.05,8047.0
78.0,0.0,external_exposure_ratio,lft,1,0.13333333333333333,7190.5
78.0,0.0,external_exposure_ratio,lft,2,0.21666666666666667,92.5
78.0,0.0,external_exposure_ratio,lft,3,0.3,92.0
78.0,0.0,random,etngrp_geslacht_lft_oplniv,0,0.05,7971.0
78.0,0.0,random,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,7968.5
78.0,0.0,random,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,89.0
78.0,0.0,random,etngrp_geslacht_lft_oplniv,3,0.3,87.5
78.0,0.0,random,geslacht,0,0.05,8601.0
78.0,0.0,random,geslacht,1,0.13333333333333333,5663.0
78.0,0.0,random,geslacht,2,0.21666666666666667,88.0
78.0,0.0,random,geslacht,3,0.3,87.0
78.0,0.0,random,lft,0,0.05,8053.0
78.0,0.0,random,lft,1,0.13333333333333333,7739.5
78.0,0.0,random,lft,2,0.21666666666666667,88.5
78.0,0.0,random,lft,3,0.3,89.0
78.0,0.0,size,etngrp_geslacht_lft_oplniv,0,0.05,7964.0
78.0,0.0,size,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,7964.0
78.0,0.0,size,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,7196.0
78.0,0.0,size,etngrp_geslacht_lft_oplniv,3,0.3,86.0
78.0,0.0,size,geslacht,0,0.05,8601.0
78.0,0.0,size,geslacht,1,0.13333333333333333,5406.0
78.0,0.0,size,geslacht,2,0.21666666666666667,89.0
78.0,0.0,size,geslacht,3,0.3,87.0
78.0,0.0,size,lft,0,0.05,8047.0
78.0,0.0,size,lft,1,0.13333333333333333,8047.0
78.0,0.0,size,lft,2,0.21666666666666667,86.0
78.0,0.0,size,lft,3,0.3,86.0
45.0,0.55,combined_score,etngrp_geslacht_lft_oplniv,0,0.05,7944.0
45.0,0.55,combined_score,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,4037.5
45.0,0.55,combined_score,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,93.0
45.0,0.55,combined_score,etngrp_geslacht_lft_oplniv,3,0.3,91.5
45.0,0.55,combined_score,geslacht,0,0.05,8595.0
45.0,0.55,combined_score,geslacht,1,0.13333333333333333,8131.5
45.0,0.55,combined_score,geslacht,2,0.21666666666666667,105.0
45.0,0.55,combined_score,geslacht,3,0.3,89.5
45.0,0.55,combined_score,lft,0,0.05,7933.0
45.0,0.55,combined_score,lft,1,0.13333333333333333,7933.0
45.0,0.55,combined_score,lft,2,0.21666666666666667,87.5
45.0,0.55,combined_score,lft,3,0.3,86.0
45.0,0.55,internal_density,etngrp_geslacht_lft_oplniv,0,0.05,7944.5
45.0,0.55,internal_density,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,127.5
45.0,0.55,internal_density,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,95.0
45.0,0.55,internal_density,etngrp_geslacht_lft_oplniv,3,0.3,91.0
45.0,0.55,internal_density,geslacht,0,0.05,8595.0
45.0,0.55,internal_density,geslacht,1,0.13333333333333333,4333.0
45.0,0.55,internal_density,geslacht,2,0.21666666666666667,101.0
45.0,0.55,internal_density,geslacht,3,0.3,92.0
45.0,0.55,internal_density,lft,0,0.05,7933.0
45.0,0.55,internal_density,lft,1,0.13333333333333333,7933.0
45.0,0.55,internal_density,lft,2,0.21666666666666667,87.0
45.0,0.55,internal_density,lft,3,0.3,86.0
45.0,0.55,external_exposure_ratio,etngrp_geslacht_lft_oplniv,0,0.05,7944.0
45.0,0.55,external_exposure_ratio,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,137.5
45.0,0.55,external_exposure_ratio,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,94.0
45.0,0.55,external_exposure_ratio,etngrp_geslacht_lft_oplniv,3,0.3,90.5
45.0,0.55,external_exposure_ratio,geslacht,0,0.05,8595.0
45.0,0.55,external_exposure_ratio,geslacht,1,0.13333333333333333,94.0
45.0,0.55,external_exposure_ratio,geslacht,2,0.21666666666666667,86.0
45.0,0.55,external_exposure_ratio,geslacht,3,0.3,86.0
45.0,0.55,external_exposure_ratio,lft,0,0.05,7943.0
45.0,0.55,external_exposure_ratio,lft,1,0.13333333333333333,7942.0
45.0,0.55,external_exposure_ratio,lft,2,0.21666666666666667,171.5
45.0,0.55,external_exposure_ratio,lft,3,0.3,140.0
45.0,0.55,random,etngrp_geslacht_lft_oplniv,0,0.05,7944.0
45.0,0.55,random,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,7942.0
45.0,0.55,random,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,94.0
45.0,0.55,random,etngrp_geslacht_lft_oplniv,3,0.3,90.0
45.0,0.55,random,geslacht,0,0.05,8595.0
45.0,0.55,random,geslacht,1,0.13333333333333333,144.0
45.0,0.55,random,geslacht,2,0.21666666666666667,94.0
45.0,0.55,random,geslacht,3,0.3,89.0
45.0,0.55,random,lft,0,0.05,7939.0
45.0,0.55,random,lft,1,0.13333333333333333,7937.5
45.0,0.55,random,lft,2,0.21666666666666667,102.0
45.0,0.55,random,lft,3,0.3,94.0
45.0,0.55,size,etngrp_geslacht_lft_oplniv,0,0.05,7938.0
45.0,0.55,size,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,7938.0
45.0,0.55,size,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,7938.0
45.0,0.55,size,etngrp_geslacht_lft_oplniv,3,0.3,87.0
45.0,0.55,size,geslacht,0,0.05,8595.0
45.0,0.55,size,geslacht,1,0.13333333333333333,8595.0
45.0,0.55,size,geslacht,2,0.21666666666666667,99.5
45.0,0.55,size,geslacht,3,0.3,90.5
45.0,0.55,size,lft,0,0.05,7933.0
45.0,0.55,size,lft,1,0.13333333333333333,7933.0
