n_communities,pref_attachment,strategy,network,threshold_idx,threshold_value,median_final_adoption
56.0,0.33,size,lft,2,0.15000000000000002,8.0
56.0,0.33,size,lft,3,0.2,8.0
78.0,0.0,combined_score,etngrp_geslacht_lft_oplniv,0,0.05,7964.0
78.0,0.0,combined_score,etngrp_geslacht_lft_oplniv,1,0.1,10.0
78.0,0.0,combined_score,etngrp_geslacht_lft_oplniv,2,0.15000000000000002,8.0
78.0,0.0,combined_score,etngrp_geslacht_lft_oplniv,3,0.2,8.0
78.0,0.0,combined_score,geslacht,0,0.05,8601.0
78.0,0.0,combined_score,geslacht,1,0.1,6437.5
78.0,0.0,combined_score,geslacht,2,0.15000000000000002,8.0
78.0,0.0,combined_score,geslacht,3,0.2,8.0
78.0,0.0,combined_score,lft,0,0.05,8047.0
78.0,0.0,combined_score,lft,1,0.1,8.0
78.0,0.0,combined_score,lft,2,0.15000000000000002,8.0
78.0,0.0,combined_score,lft,3,0.2,8.0
78.0,0.0,internal_density,etngrp_geslacht_lft_oplniv,0,0.05,7964.0
78.0,0.0,internal_density,etngrp_geslacht_lft_oplniv,1,0.1,9.5
78.0,0.0,internal_density,etngrp_geslacht_lft_oplniv,2,0.15000000000000002,8.0
78.0,0.0,internal_density,etngrp_geslacht_lft_oplniv,3,0.2,8.0
78.0,0.0,internal_density,geslacht,0,0.05,8601.0
78.0,0.0,internal_density,geslacht,1,0.1,6448.0
78.0,0.0,internal_density,geslacht,2,0.15000000000000002,9.0
78.0,0.0,internal_density,geslacht,3,0.2,8.0
78.0,0.0,internal_density,lft,0,0.05,8047.0
78.0,0.0,internal_density,lft,1,0.1,8.0
78.0,0.0,internal_density,lft,2,0.15000000000000002,8.0
78.0,0.0,internal_density,lft,3,0.2,8.0
78.0,0.0,external_exposure_ratio,etngrp_geslacht_lft_oplniv,0,0.05,7964.0
78.0,0.0,external_exposure_ratio,etngrp_geslacht_lft_oplniv,1,0.1,13.0
78.0,0.0,external_exposure_ratio,etngrp_geslacht_lft_oplniv,2,0.15000000000000002,8.0
78.0,0.0,external_exposure_ratio,etngrp_geslacht_lft_oplniv,3,0.2,8.0
78.0,0.0,external_exposure_ratio,geslacht,0,0.05,8601.0
78.0,0.0,external_exposure_ratio,geslacht,1,0.1,8.0
78.0,0.0,external_exposure_ratio,geslacht,2,0.15000000000000002,8.0
78.0,0.0,external_exposure_ratio,geslacht,3,0.2,8.0
78.0,0.0,external_exposure_ratio,lft,0,0.05,8047.0
78.0,0.0,external_exposure_ratio,lft,1,0.1,8047.0
78.0,0.0,external_exposure_ratio,lft,2,0.15000000000000002,8.5
78.0,0.0,external_exposure_ratio,lft,3,0.2,9.0
78.0,0.0,random,etngrp_geslacht_lft_oplniv,0,0.05,7965.0
78.0,0.0,random,etngrp_geslacht_lft_oplniv,1,0.1,11.5
78.0,0.0,random,etngrp_geslacht_lft_oplniv,2,0.15000000000000002,8.5
78.0,0.0,random,etngrp_geslacht_lft_oplniv,3,0.2,8.0
78.0,0.0,random,geslacht,0,0.05,8601.0
78.0,0.0,random,geslacht,1,0.1,6502.0
78.0,0.0,random,geslacht,2,0.15000000000000002,8.0
78.0,0.0,random,geslacht,3,0.2,8.0
78.0,0.0,random,lft,0,0.05,8047.0
78.0,0.0,random,lft,1,0.1,10.0
