aggregation_level,network_name,threshold,mean_outcome,between_sd,within_sd,total_sd,cv_between,cv_within,pct_structural,n_networks,n_structures,agg_numeric
0.0402535344785966,geslacht_lft_oplniv,0.3,401.00699999999995,755.5384518645748,789.6350611200088,1092.8686480981685,1.8841029006091536,1.9691303671008458,47.79442151083897,50,50,0.0402535344785966
0.0506901892844766,etngrp_lft,0.05,7479.163999999999,406.97235791405103,1913.73317392995,1956.5278329495143,0.0544141508214088,0.25587527883195904,4.326709766677912,50,50,0.0506901892844766
0.0506901892844766,etngrp_lft,0.1333333333333333,6527.847,1662.7910905637436,2603.084435232557,3088.8384204759177,0.2547227425158316,0.3987661529494422,28.979106867851918,50,50,0.0506901892844766
0.0506901892844766,etngrp_lft,0.2166666666666666,4117.263000000001,2118.45419389074,2468.956007637641,3253.243295430464,0.514529723724411,0.5996595329561508,42.40382846738579,50,50,0.0506901892844766
0.0506901892844766,etngrp_lft,0.3,429.932,861.607858608733,914.157210440305,1256.2052011579663,2.0040561265705574,2.126283250468225,47.043337845909264,50,50,0.0506901892844766
0.059928266375987,etngrp_geslacht_oplniv,0.05,8579.517,62.26504539925609,264.5458269374136,271.77459489174373,0.00725740684461096,0.03083458275534784,5.2489314870779,50,50,0.059928266375987
0.059928266375987,etngrp_geslacht_oplniv,0.1333333333333333,7097.936,2173.8859414966405,1679.9578979843513,2747.369401015585,0.3062701525480986,0.2366825930783754,62.60937868793801,50,50,0.059928266375987
0.059928266375987,etngrp_geslacht_oplniv,0.2166666666666666,3888.9289999999996,2323.9651067862883,1925.8487684005722,3018.229165638389,0.5975848637983076,0.49521314696168856,59.28635950518135,50,50,0.059928266375987
0.059928266375987,etngrp_geslacht_oplniv,0.3,784.867,1782.757275751783,981.3794735727868,2035.0255957594045,2.2714132149163913,1.2503767817640272,76.7440444755777,50,50,0.059928266375987
0.07644341346134,geslacht_lft,0.05,7403.951,526.5040307896561,1963.7583761883743,2033.1142256370533,0.07111122572119347,0.265231141614575,6.706251594177279,50,50,0.07644341346134
0.07644341346134,geslacht_lft,0.1333333333333333,6437.128,1779.9868658699108,2535.0642299160786,3097.564186981343,0.2765187931434501,0.3938191426232442,33.02120873931928,50,50,0.07644341346134
0.07644341346134,geslacht_lft,0.2166666666666666,4128.915999999999,2279.364076829056,2291.0556942379203,3231.785387187518,0.5520490309875659,0.5548806743072324,49.744191092150004,50,50,0.07644341346134
0.07644341346134,geslacht_lft,0.3,718.8549999999999,1466.044756856742,1103.9753925926066,1835.224481243955,2.0394165121710808,1.535741411818248,63.814015031200064,50,50,0.07644341346134
0.0802460616323604,lft_oplniv,0.05,7306.234,569.5335065164279,2109.7871438844254,2185.307806132788,0.07795171993073693,0.28876533982957914,6.792244715247407,50,50,0.0802460616323604
0.0802460616323604,lft_oplniv,0.1333333333333333,6216.78,1792.1506840915458,2763.0638947733364,3293.3761038013554,0.28827635594174894,0.4444525775036814,29.611907541669265,50,50,0.0802460616323604
0.0802460616323604,lft_oplniv,0.2166666666666666,4417.413,1806.284397195536,2905.4768867347752,3421.17805191458,0.40890095564882345,0.657732678998947,27.87538706630592,50,50,0.0802460616323604
0.0802460616323604,lft_oplniv,0.3,526.7209999999999,1013.4599170557124,920.9560780786454,1369.4017311324576,1.9240924836027282,1.7484704009877061,54.771093092352274,50,50,0.0802460616323604
